CC20XXD,DDT,19,2020
CC16HC12,HC1,18,2016
CC17KCX1,KCX,21,2017
TT17DDT1,DDT,19,2017
CC18KTM1,KTM,26,2018
CC19CK11,CK1,22,2019
CC17KHM1,KHM,26,2017
CC17CDT2,CDT,22,2017
CC17KHM2,KHM,26,2017
CC19KCX1,KCX,21,2019
CC19HC11,HC1,18,2019
CC19CDT1,CDT,22,2019
CC18HC11,HC1,18,2018
CC19QKD1,QKD,25,2019
CC18HTP1,HTP,18,2018
CC19OTO1,OTO,20,2019
CC17OTO1,OTO,20,2017
TT18DDT1,DDT,19,2018
TT17DDT2,DDT,19,2017
CC17QKD1,QKD,25,2017
CC18CDT1,CDT,22,2018
CC18CK12,CK1,22,2018
CC17QLM2,QLM,24,2017
CC18DK11,DK1,23,2018
CC17HTP2,HTP,18,2017
CC18QLM1,QLM,24,2018
CC18KCX1,KCX,21,2018
CC18CDT2,CDT,22,2018
CC19QKD,QKD,25,2019
CC17KTM2,KTM,26,2017
CC19KHM,KHM,26,2019
TT16COA1,DDT,19,2016
TT16CSA1,DDT,19,2016
CC16DK11,DK1,23,2016
CC19HC1,HC1,18,2019
TT19DDT,DDT,19,2019
CC16KHM1,KHM,26,2016
CC19KHM1,KHM,26,2019
CC17KTM1,KTM,26,2017
CC19KTM,KTM,26,2019
CC18OTO1,OTO,20,2018
TT18DDT2,DDT,19,2018
CC18HC12,HC1,18,2018
TT15COA2,DDT,19,2015
CC16HC11,HC1,18,2016
CC19CK1,CK1,22,2019
CC16KHM2,KHM,26,2016
TT16DDT3,DDT,19,2016
QT18QKD2,QKD,25,2018
CC18KHM1,KHM,26,2018
CC16OTO2,OTO,20,2016
TT15ESA2,DDT,19,2015
CC16KMT2,KMT,24,2016
QT18CDT1,CDT,22,2018
CC17HC12,HC1,18,2017
CC17DK12,DK1,23,2017
CC16HTP1,HTP,18,2016
CC16CK11,CK1,22,2016
CC16CDT2,CDT,22,2016
CC16CK12,CK1,22,2016
CC19CDT,CDT,22,2019
CC18HTP2,HTP,18,2018
TT15CSA2,DDT,19,2015
CC18QKD2,QKD,25,2018
CC18OTO2,OTO,20,2018
CC17QKD2,QKD,25,2017
CC16QKD1,QKD,25,2016
CC18QKD1,QKD,25,2018
CC16QLM2,QLM,24,2016
CC16CDT1,CDT,22,2016
CC17HTP1,HTP,18,2017
CC17HC11,HC1,18,2017
CC17CDT1,CDT,22,2017
CC18KTM2,KTM,26,2018
CC18CK11,CK1,22,2018
CC17KCX2,KCX,21,2017
CC17CK12,CK1,22,2017
CC16XGT1,XGT,20,2016
QT18HC11,HC1,18,2018
CC19KTM1,KTM,26,2019
TT15DDT2,DDT,19,2015
QT18HDP1,HDP,18,2018
CC17DK11,DK1,23,2017
CC18KHM2,KHM,26,2018
CC16HTP2,HTP,18,2016
CC16KCX2,KCX,21,2016
CC17OTO2,OTO,20,2017
CC19HTP1,HTP,18,2019
TT16DDT1,DDT,19,2016
CC16KTM2,KTM,26,2016
CC18DK12,DK1,23,2018
CC16QKD2,QKD,25,2016
QT18QKD1,QKD,25,2018
CC17CK11,CK1,22,2017
CC18XGT2,XGT,20,2018
QT19HC11,HC1,18,2019
CC16KTM1,KTM,26,2016
CC19KCX,KCX,21,2019
CC16KCX1,KCX,21,2016
CC17KMT1,KMT,24,2017
CC17KMT2,KMT,24,2017
CC19DK11,DK1,23,2019
CC19HTP,HTP,18,2019
CC18KMT1,KMT,24,2018
CC19OTO,OTO,20,2019
CC16QLM1,QLM,24,2016
CC18KCX2,KCX,21,2018
QT18DDT1,DDT,19,2018
CC17XGT1,XGT,20,2017
CC18KMT2,KMT,24,2018
CC16KTM,KTM,26,2016
CC16KMT,KMT,24,2016
QT19QKD1,QKD,25,2019
QT19HDP1,HDP,18,2019
TT19DDT1,DDT,19,2019
QT19HDP,HDP,18,2019
CC19XGT1,XGT,20,2019
CC18QLM2,QLM,24,2018
TT16DDT2,DDT,19,2016
CC18QKD,QKD,25,2018
CC19QLM1,QLM,24,2019
CC19KMT1,KMT,24,2019
CC16DK12,DK1,23,2016
CC18XGT1,XGT,20,2018
QT18DDT2,DDT,19,2018
CC17XGT2,XGT,20,2017
TT16DDT,DDT,19,2016
QT18HDP2,HDP,18,2018
QT19KCX1,KCX,21,2019
CC18HC1,HC1,18,2018
QT18KCX1,KCX,21,2018
QT18KCX2,KCX,21,2018
QT19DDT1,DDT,19,2019
QT19KMT1,KMT,24,2019
CC19DK1,DK1,23,2019
QT18HC12,HC1,18,2018
TT18DDT,DDT,19,2018
CC16KMT1,KMT,24,2016
QT18CDT2,CDT,22,2018
CC19QLM,QLM,24,2019
CC18KHM,KHM,26,2018
